X,Y,Z,ID,Date,Location Residual,Sensors Hit,Sensors Used,Apparent Volume,Seismic Moment,Local Magnitude
2.75E+03,4.80E+03,1.26E+03,nan,nan,2.81E+00,8.00E+00,6.00E+00,1.85E+05,5.16E+07,-1.80E+00
2.68E+03,4.70E+03,1.04E+03,nan,nan,2.66E+00,9.00E+00,9.00E+00,1.36E+02,3.92E+06,-2.00E+00
2.68E+03,4.71E+03,1.04E+03,nan,nan,2.52E+00,9.00E+00,7.00E+00,6.62E+02,1.51E+07,-1.60E+00
2.86E+03,4.70E+03,1.02E+03,nan,nan,3.30E+00,6.00E+00,5.00E+00,7.76E+03,8.72E+06,-2.10E+00
2.68E+03,4.80E+03,1.29E+03,nan,nan,3.20E+00,8.00E+00,7.00E+00,4.95E+04,1.70E+08,-1.10E+00
2.73E+03,4.79E+03,1.18E+03,nan,nan,1.40E+00,6.00E+00,5.00E+00,6.86E+01,1.21E+06,-2.40E+00
2.71E+03,4.76E+03,1.17E+03,nan,nan,1.79E+00,7.00E+00,7.00E+00,3.63E+02,2.33E+06,-2.30E+00
2.70E+03,4.80E+03,1.13E+03,nan,nan,1.53E+00,6.00E+00,5.00E+00,1.34E+03,2.81E+06,-2.40E+00
2.73E+03,4.76E+03,1.17E+03,nan,nan,1.44E+00,7.00E+00,7.00E+00,2.20E+01,9.97E+05,-2.30E+00
2.64E+03,4.73E+03,1.17E+03,nan,nan,3.57E+00,9.00E+00,9.00E+00,2.03E+04,1.54E+08,-1.10E+00
2.73E+03,4.76E+03,1.17E+03,nan,nan,1.43E+00,8.00E+00,8.00E+00,3.68E+01,2.12E+06,-2.10E+00
2.85E+03,4.92E+03,1.02E+03,nan,nan,1.40E+00,6.00E+00,4.00E+00,6.01E+03,1.68E+07,-1.80E+00
2.69E+03,4.74E+03,1.18E+03,nan,nan,4.46E+00,1.00E+01,1.00E+01,2.05E+05,2.13E+10,7.00E-01
2.83E+03,4.74E+03,1.11E+03,nan,nan,1.41E+00,6.00E+00,6.00E+00,1.43E+04,7.92E+06,-2.20E+00
2.72E+03,4.76E+03,1.17E+03,nan,nan,1.34E+00,8.00E+00,8.00E+00,1.80E+02,9.83E+06,-1.60E+00
2.72E+03,4.76E+03,1.17E+03,nan,nan,1.72E+00,9.00E+00,9.00E+00,2.70E+02,4.53E+07,-1.10E+00
2.79E+03,4.67E+03,1.02E+03,nan,nan,6.30E-01,8.00E+00,7.00E+00,1.00E+03,6.82E+06,-2.00E+00
